Mouse,Group,age_days,bw,bwSD,%twc,%rwc,Thresh_%rwc,Hearing_loss,Menace_reflex,Piloerection,Breathing_rate_depth,Kyphosis,Tail_stiffening,Mouse_grimace_scale,Coat_condition,Loss_of_fur_colour,Forelimb_grip_strength,Body_condition_score,temp,Vision_loss,Gait_disorders,Eye_discharge_swelling,Distended_abdomen,Body_Weight_Score,Alopecia,malocclusion,Tremor,Microphthalmia,Loss_of_whiskers,Tumours,Cataracts,Rectal_prolapse,Diarrhoea,Corneal_capacity,Vestibular_disturbance,Dermatitis,Nasal_discharge,Vaginal_uterine_penile_prolapse,FI
A-1,alpha,823.9999999,48.4,-3.731608725,-3.777335984,0.207039337,0,1,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.25,0.5,0.5,0.5,1,0.75,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.419354839
A-101,beta,821.9999998,35.3,0.0116496,-30.51181102,-16.74528302,1,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.306451613
A-21,gamma,821.9999998,38.8,-0.988457586,-8.274231678,-8.274231678,0,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.75,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.346774194
A-23,delta,821.9999998,47.1,-3.360140342,-7.283464567,-3.87755102,0,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314516129
A-3,epsilon,823.9999999,44,-2.47433112,-25.29711375,-25.42372881,1,1,1,1,0.5,1,1,0.5,1,1,1,1,0,0,0.5,0,1,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.435483871
A-41,chi,821.9999998,48.3,-3.703034234,-8.174904943,-8.174904943,0,1,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0.5,1,1,0,0.5,0,1,0.75,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.362903226
A-42,phi,821.9999998,51.4,-4.588843457,37.06666667,1.782178218,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.387096774
A-43,omega,821.9999998,50,-4.188800582,2.669404517,-1.960784314,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.75,0,0.5,0,1,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0.427419355
A-62,sigma,821.9999998,37.7,-0.674138185,-10.23809524,-11.70960187,1,1,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.322580645
A-63,tau,821.9999998,43.1,-2.217160701,-15.32416503,-8.686440678,0,1,0.5,1,0.5,0.5,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.403225806
A-81,epsilon,821.9999998,38.5,-0.902734113,-15.93886463,-12.5,1,0.5,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35483871
A-11,apple,823.9999999,37.5,-0.616989203,-28.02303263,1.351351351,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.31
A-113,banana,821.9999998,42.3,-1.988564772,-2.534562212,27.40963855,1,1,1,1,1,0.5,1,0.5,1,0.5,0.5,1,0.75,0.5,0.5,0,0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387096774
A-12,cherry,823.9999999,29.4,1.697544571,-38.75,-7.836990596,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
A-13,denver,823.9999999,37.4,-0.588414712,-19.56989247,-19.56989247,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31
A-33,elephant,821.9999998,34.3,0.297394511,-14.03508772,7.523510972,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274193548
A-34,fruit,821.9999998,37.7,-0.674138185,-3.826530612,15.29051988,1,1,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258064516
A-35,gary,821.9999998,32.1,0.926033313,14.23487544,14.23487544,1,1,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.75,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266129032
A-36,hector,821.9999998,33,0.668862894,11.11111111,11.11111111,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233870968
A-56,justice,821.9999998,35.7,-0.102648364,-6.544502618,3.47826087,0,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.306451613
A-74,klingon,821.9999998,37.8,-0.702712676,-26.60194175,2.717391304,0,1,1,1,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.75,0.5,0.5,0.5,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.379032258
A-76,lemon,821.9999998,37,-0.474116747,0,17.08860759,1,1,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.258064516
A-93,mouse,821.9999998,30.7,1.326076188,-38.6,-13.52112676,1,1,1,1,0.5,0.56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.25,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.332580645
A-95,nectorine,821.9999998,39.7,-1.245628005,-6.588235294,17.8041543,1,1,1,1,0.6,0,0.5,0.6,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296774194